condition,noise,run,node,epoch,grad_slope,grad_thresh,grad_pass,acc_variance,var_thresh,var_pass,local_converged,global_flag_value,log_reported_node,val_accuracy,source_file
full_dp,1.0,1,ml1,37,,,,,,,,,,0.7567,exp_full_dp_1.0_ml1_run1.log
full_dp,1.0,1,ml1,38,,,,,,,,,,0.7518,exp_full_dp_1.0_ml1_run1.log
full_dp,1.0,1,ml1,39,,,,,,,,,,0.7508,exp_full_dp_1.0_ml1_run1.log
full_dp,1.0,1,ml1,40,,,,,,,,,,0.7606,exp_full_dp_1.0_ml1_run1.log
full_dp,1.0,1,ml1,41,,,,,,,,,,0.7610,exp_full_dp_1.0_ml1_run1.log
full_dp,1.0,1,ml1,42,,,,,,,,,,0.7459,exp_full_dp_1.0_ml1_run1.log
full_dp,1.0,1,ml1,43,,,,,,,,,,0.7581,exp_full_dp_1.0_ml1_run1.log
full_dp,1.0,1,ml1,44,,,,,,,,,,0.7601,exp_full_dp_1.0_ml1_run1.log
full_dp,1.0,1,ml1,45,,,,,,,,,,0.7604,exp_full_dp_1.0_ml1_run1.log
full_dp,1.0,1,ml1,46,,,,,,,,,,0.7627,exp_full_dp_1.0_ml1_run1.log
full_dp,1.0,1,ml1,47,,,,,,,,,,0.7648,exp_full_dp_1.0_ml1_run1.log
full_dp,1.0,1,ml1,48,,,,,,,,,,0.7614,exp_full_dp_1.0_ml1_run1.log
full_dp,1.0,1,ml1,49,,,,,,,,,,0.7635,exp_full_dp_1.0_ml1_run1.log
full_dp,1.0,1,ml1,50,,,,,,,,,,0.7640,exp_full_dp_1.0_ml1_run1.log
full_dp,1.0,1,ml2,1,,,,,,,,,,0.5456,exp_full_dp_1.0_ml2_run1.log
full_dp,1.0,1,ml2,2,,,,,,,,,,0.6043,exp_full_dp_1.0_ml2_run1.log
full_dp,1.0,1,ml2,3,,,,,,,,,,0.6342,exp_full_dp_1.0_ml2_run1.log
full_dp,1.0,1,ml2,4,,,,,,,,,,0.6437,exp_full_dp_1.0_ml2_run1.log
full_dp,1.0,1,ml2,5,,,,,,,,,,0.6563,exp_full_dp_1.0_ml2_run1.log
full_dp,1.0,1,ml2,6,,,,,,,,,,0.6572,exp_full_dp_1.0_ml2_run1.log
full_dp,1.0,1,ml2,7,,,,,,,,,,0.6729,exp_full_dp_1.0_ml2_run1.log
full_dp,1.0,1,ml2,8,,,,,,,,,,0.6691,exp_full_dp_1.0_ml2_run1.log
full_dp,1.0,1,ml2,9,,,,,,,,,,0.6689,exp_full_dp_1.0_ml2_run1.log
full_dp,1.0,1,ml2,10,,,,,,,,,,0.6776,exp_full_dp_1.0_ml2_run1.log
full_dp,1.0,1,ml2,11,,,,,,,,,,0.6680,exp_full_dp_1.0_ml2_run1.log
full_dp,1.0,1,ml2,12,,,,,,,,,,0.7044,exp_full_dp_1.0_ml2_run1.log
full_dp,1.0,1,ml2,13,,,,,,,,,,0.6968,exp_full_dp_1.0_ml2_run1.log
full_dp,1.0,1,ml2,14,,,,,,,,,,0.6994,exp_full_dp_1.0_ml2_run1.log
full_dp,1.0,1,ml2,15,,,,,,,,,,0.7078,exp_full_dp_1.0_ml2_run1.log
full_dp,1.0,1,ml2,16,,,,,,,,,,0.7113,exp_full_dp_1.0_ml2_run1.log
full_dp,1.0,1,ml2,17,,,,,,,,,,0.7222,exp_full_dp_1.0_ml2_run1.log
full_dp,1.0,1,ml2,18,,,,,,,,,,0.7205,exp_full_dp_1.0_ml2_run1.log
full_dp,1.0,1,ml2,19,,,,,,,,,,0.6988,exp_full_dp_1.0_ml2_run1.log
full_dp,1.0,1,ml2,20,,,,,,,,,,0.7230,exp_full_dp_1.0_ml2_run1.log
full_dp,1.0,1,ml2,21,,,,,,,,,,0.7324,exp_full_dp_1.0_ml2_run1.log
full_dp,1.0,1,ml2,22,,,,,,,,,,0.7282,exp_full_dp_1.0_ml2_run1.log
full_dp,1.0,1,ml2,23,,,,,,,,,,0.7362,exp_full_dp_1.0_ml2_run1.log
full_dp,1.0,1,ml2,24,,,,,,,,,,0.7355,exp_full_dp_1.0_ml2_run1.log
full_dp,1.0,1,ml2,25,,,,,,,,,,0.7379,exp_full_dp_1.0_ml2_run1.log
full_dp,1.0,1,ml2,26,,,,,,,,,,0.7328,exp_full_dp_1.0_ml2_run1.log
full_dp,1.0,1,ml2,27,,,,,,,,,,0.7452,exp_full_dp_1.0_ml2_run1.log
full_dp,1.0,1,ml2,28,,,,,,,,,,0.7434,exp_full_dp_1.0_ml2_run1.log
full_dp,1.0,1,ml2,29,,,,,,,,,,0.7497,exp_full_dp_1.0_ml2_run1.log
full_dp,1.0,1,ml2,30,,,,,,,,,,0.7472,exp_full_dp_1.0_ml2_run1.log
full_dp,1.0,1,ml2,31,,,,,,,,,,0.7476,exp_full_dp_1.0_ml2_run1.log
full_dp,1.0,1,ml2,32,,,,,,,,,,0.7475,exp_full_dp_1.0_ml2_run1.log
full_dp,1.0,1,ml2,33,,,,,,,,,,0.7314,exp_full_dp_1.0_ml2_run1.log
full_dp,1.0,1,ml2,34,,,,,,,,,,0.7483,exp_full_dp_1.0_ml2_run1.log
full_dp,1.0,1,ml2,35,,,,,,,,,,0.7578,exp_full_dp_1.0_ml2_run1.log
full_dp,1.0,1,ml2,36,,,,,,,,,,0.7492,exp_full_dp_1.0_ml2_run1.log
full_dp,1.0,1,ml2,37,,,,,,,,,,0.7578,exp_full_dp_1.0_ml2_run1.log
full_dp,1.0,1,ml2,38,,,,,,,,,,0.7553,exp_full_dp_1.0_ml2_run1.log
full_dp,1.0,1,ml2,39,,,,,,,,,,0.7495,exp_full_dp_1.0_ml2_run1.log
full_dp,1.0,1,ml2,40,,,,,,,,,,0.7506,exp_full_dp_1.0_ml2_run1.log
full_dp,1.0,1,ml2,41,,,,,,,,,,0.7558,exp_full_dp_1.0_ml2_run1.log
full_dp,1.0,1,ml2,42,,,,,,,,,,0.7628,exp_full_dp_1.0_ml2_run1.log
